year,source,metric,value_tonnes
1619,castaneda_2013,production_tonnes,8.52
1619,castaneda_2013,stock_lower,1925.48
1619,castaneda_2013,stock_upper,2191.5
1620,castaneda_2013,production_tonnes,8.52
1620,castaneda_2013,stock_lower,1934
1620,castaneda_2013,stock_upper,2200
1621,castaneda_2013,production_tonnes,8.3
1621,castaneda_2013,stock_lower,1942.3
1621,castaneda_2013,stock_upper,2208.3
1622,castaneda_2013,production_tonnes,8.3
1622,castaneda_2013,stock_lower,1950.6
1622,castaneda_2013,stock_upper,2216.6
1623,castaneda_2013,production_tonnes,8.3
1623,castaneda_2013,stock_lower,1958.9
1623,castaneda_2013,stock_upper,2224.9
1624,castaneda_2013,production_tonnes,8.3
1624,castaneda_2013,stock_lower,1967.2
1624,castaneda_2013,stock_upper,2233.2
1625,castaneda_2013,production_tonnes,8.3
1625,castaneda_2013,stock_lower,1975.5
1625,castaneda_2013,stock_upper,2241.5
1626,castaneda_2013,production_tonnes,8.3
1626,castaneda_2013,stock_lower,1983.8
1626,castaneda_2013,stock_upper,2249.8
1627,castaneda_2013,production_tonnes,8.3
1627,castaneda_2013,stock_lower,1992.1
1627,castaneda_2013,stock_upper,2258.1
1628,castaneda_2013,production_tonnes,8.3
1628,castaneda_2013,stock_lower,2000.4
1628,castaneda_2013,stock_upper,2266.4
1629,castaneda_2013,production_tonnes,8.3
1629,castaneda_2013,stock_lower,2008.7
1629,castaneda_2013,stock_upper,2274.7
1630,castaneda_2013,production_tonnes,8.3
1630,castaneda_2013,stock_lower,2017
1630,castaneda_2013,stock_upper,2283
1631,castaneda_2013,production_tonnes,8.3
1631,castaneda_2013,stock_lower,2025.3
1631,castaneda_2013,stock_upper,2291.3
1632,castaneda_2013,production_tonnes,8.3
1632,castaneda_2013,stock_lower,2033.6
1632,castaneda_2013,stock_upper,2299.6
1633,castaneda_2013,production_tonnes,8.3
1633,castaneda_2013,stock_lower,2041.9
1633,castaneda_2013,stock_upper,2307.9
1634,castaneda_2013,production_tonnes,8.3
1634,castaneda_2013,stock_lower,2050.2
1634,castaneda_2013,stock_upper,2316.2
1635,castaneda_2013,production_tonnes,8.3
1635,castaneda_2013,stock_lower,2058.5
1635,castaneda_2013,stock_upper,2324.5
1636,castaneda_2013,production_tonnes,8.3
1636,castaneda_2013,stock_lower,2066.8
1636,castaneda_2013,stock_upper,2332.8
1637,castaneda_2013,production_tonnes,8.3
1637,castaneda_2013,stock_lower,2075.1
1637,castaneda_2013,stock_upper,2341.1
1638,castaneda_2013,production_tonnes,8.3
1638,castaneda_2013,stock_lower,2083.4
1638,castaneda_2013,stock_upper,2349.4
1639,castaneda_2013,production_tonnes,8.3
1639,castaneda_2013,stock_lower,2091.7
1639,castaneda_2013,stock_upper,2357.7
1640,castaneda_2013,production_tonnes,8.3
1640,castaneda_2013,stock_lower,2100
1640,castaneda_2013,stock_upper,2366
1641,castaneda_2013,production_tonnes,8.77
1641,castaneda_2013,stock_lower,2108.77
1641,castaneda_2013,stock_upper,2374.8
1642,castaneda_2013,production_tonnes,8.77
1642,castaneda_2013,stock_lower,2117.54
1642,castaneda_2013,stock_upper,2383.5
1643,castaneda_2013,production_tonnes,8.77
1643,castaneda_2013,stock_lower,2126.31
1643,castaneda_2013,stock_upper,2392.3
1644,castaneda_2013,production_tonnes,8.77
1644,castaneda_2013,stock_lower,2135.08
1644,castaneda_2013,stock_upper,2401.1
1645,castaneda_2013,production_tonnes,8.77
1645,castaneda_2013,stock_lower,2143.85
1645,castaneda_2013,stock_upper,2409.8
1646,castaneda_2013,production_tonnes,8.77
1646,castaneda_2013,stock_lower,2152.62
1646,castaneda_2013,stock_upper,2418.6
1647,castaneda_2013,production_tonnes,8.77
1647,castaneda_2013,stock_lower,2161.39
1647,castaneda_2013,stock_upper,2427.4
1648,castaneda_2013,production_tonnes,8.77
1648,castaneda_2013,stock_lower,2170.16
1648,castaneda_2013,stock_upper,2436.2
1649,castaneda_2013,production_tonnes,8.77
1649,castaneda_2013,stock_lower,2178.93
1649,castaneda_2013,stock_upper,2444.9
1650,castaneda_2013,production_tonnes,8.77
