year,country,region,province,production_tonnes,source
1766,Mexico,New Spain,caja_mexico,1312,TePaske
1766,Mexico,New Spain,caja_pachuca,22,TePaske
1766,Mexico,New Spain,caja_rosario,180,TePaske
1766,Mexico,New Spain,caja_san luis potosi,1117,TePaske
1766,Mexico,New Spain,caja_zacatecas,73,TePaske
1766,Mexico,New Spain,caja_zimapan,294,TePaske
1766,Peru,Viceroyalty of Peru,caja_lima,1217,TePaske
1766,Peru,Viceroyalty of Peru,caja_oruro,68,TePaske
1766,Peru,Viceroyalty of Peru,caja_trujillo,14,TePaske
1766,brazil,South America,NA,107930,TePaske
1766,chile,South America,NA,6673,TePaske
1766,ecuador,South America,NA,1676,TePaske
1766,new-granada,South America,NA,20501,TePaske
1776,Brazil,Colonial Brazil,mato_grosso-goais,23780,TePaske
1776,Brazil,Colonial Brazil,minas_gerais,75000,TePaske
1776,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,9150,TePaske
1776,Mexico,New Spain,caja_durango,1000,TePaske
1776,Mexico,New Spain,caja_guadaljara,537,TePaske
1776,Mexico,New Spain,caja_guanajuato,2461,TePaske
1776,Mexico,New Spain,caja_mexico,1649,TePaske
1776,Mexico,New Spain,caja_pachuca,21,TePaske
1776,Mexico,New Spain,caja_rosario,4739,TePaske
1776,Mexico,New Spain,caja_san luis potosi,1468,TePaske
1776,Mexico,New Spain,caja_zacatecas,106,TePaske
1776,Mexico,New Spain,caja_zimapan,239,TePaske
1776,Peru,Viceroyalty of Peru,caja_la-paz,685,TePaske
1776,Peru,Viceroyalty of Peru,caja_lima,4252,TePaske
1776,Peru,Viceroyalty of Peru,caja_potosi,178,TePaske
1776,Peru,Viceroyalty of Peru,caja_trujillo,729,TePaske
1776,brazil,South America,NA,107930,TePaske
1776,chile,South America,NA,9134,TePaske
1776,ecuador,South America,NA,1789,TePaske
1776,new-granada,South America,NA,22681,TePaske
1786,Brazil,Colonial Brazil,mato_grosso-goais,23780,TePaske
1786,Brazil,Colonial Brazil,minas_gerais,60000,TePaske
1786,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,9150,TePaske
1786,Mexico,New Spain,caja_chihuahua,18,TePaske
